Roles,Researchers,Institutions,Individuals Per Team,Unique Individuals Per Entry,Unique Institutions Per Entry,Is Multi-Institutional
"['Owner', 'Undergraduate Student']",['Mkiah Evans'],['Prairie View A&M University'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Junjie Lu'],['Stanford University'],1,1,1,False
"['Samantha Stewart Bell', 'Natalie Fitch']","['Owner', 'Project Personnel']","['All of Us Program Operational Use', 'Georgia Institute of Technology']",2,2,2,True
"['Owner', 'Graduate Trainee']",['Arun Purushothaman'],"['University of Texas Health Science Center, Houston']",1,1,1,False
"['Owner', 'Research Fellow']",['Omar Costilla Reyes'],['Massachusetts Institute of Technology'],1,1,1,False
"['Owner', 'Project Personnel']",['Scott Sauers'],['Washington University in St. Louis'],1,1,1,False
"['Owner', 'Early Career Tenure-track Researcher']",['Arnav Gupta'],['National Jewish Health'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Astrid Manuel'],"['University of Texas Health Science Center, Houston']",1,1,1,False
"['Owner', 'Graduate Trainee', 'Late Career Tenured Researcher', 'Project Personnel']","['Elsie Yi', 'Argyrios Ziogas', 'Steven Hiek']","['University of California, Irvine', 'University of California, Irvine', 'University of California, Irvine']",3,3,1,False
"['Owner', 'Graduate Trainee', 'Graduate Trainee', 'Mid-career Tenured Researcher', 'Graduate Trainee']","['Nahian Tahmin', 'Mostafa Atallah', 'Anahita Khojandi', 'Dhiraj Pokhrel']","['University of Tennessee, Knoxville', 'University of Tennessee, Knoxville', 'University of Tennessee, Knoxville', 'University of Tennessee, Knoxville']",4,4,1,False
"['Owner', 'Collaborators', 'Collaborators', 'Collaborators']","['Tamar Sofer', 'Sri Raj', 'Mariko Segawa', 'Brian Spitzer']","['Beth Israel Deaconess Medical Center', 'Albert Einstein College of Medicine', 'Albert Einstein College of Medicine', 'Beth Israel Deaconess Medical Center']",4,4,2,True
"['Owner', 'Undergraduate Student', 'Project Personnel']","['Prudny Bonnaire Fils', 'Ruina He']","['University of Florida', 'University of Florida']",2,2,1,False
"['Owner', 'Early Career Tenure-track Researcher']",['Matthew Mansh'],"['University of California, San Francisco']",1,1,1,False
"['Owner', 'Research Fellow']",['Brooke Wolford'],['University of Michigan'],1,1,1,False
['Owner'],['Jelte Kelchtermans'],['University of Pennsylvania'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Nahian Tahmin'],"['University of Tennessee, Knoxville']",1,1,1,False
