Roles,Researchers,Institutions,Individuals Per Team,Unique Individuals Per Entry,Unique Institutions Per Entry,Is Multi-Institutional
"['Owner', 'Research Fellow']",['Sarada Ghosh'],['Cornell University'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Research Fellow']","['Xinyi Tan', 'Jay Lusk']","['Columbia University', 'Duke University']",2,2,2,True
"['Owner', 'Collaborator']","['Reagan Ballard', 'Micah Hysong']","['University of North Carolina, Chapel Hill', 'University of North Carolina, Chapel Hill']",2,2,1,False
"['Robin Beaumont', 'Michael Weedon', 'Gareth Hawkes', 'Andrew Wood', 'Harry Wright', 'Harry Green']","['Research Fellow', 'Senior Researcher', 'Research Fellow', 'Mid-career Tenured Researcher', 'Research Assistant', 'Mid-career Tenured Researcher']","['University of Exeter', 'University of Exeter', 'University of Exeter', 'University of Exeter', 'University of Exeter', 'University of Exeter']",6,4,1,False
"['Owner', 'Project Personnel']",['Yuji Choi'],['Johns Hopkins University'],1,1,1,False
"['Owner', 'Collaborator', 'Collaborator']","['Jonathon Baccus', 'Hui Wang', 'Graham Jones']","['University of Alabama', 'University of Alabama', 'University of Alabama']",3,3,1,False
"['Owner', 'Graduate Trainee']",['Tadesse Abegaz'],['Florida A&M University'],1,1,1,False
"['Owner', 'Research Fellow']",['Omar Costilla Reyes'],['Massachusetts Institute of Technology'],1,1,1,False
"['Owner', 'Research Fellow', 'Senior Researcher', 'Research Assistant', 'Research Fellow']","['Robin Beaumont', 'Michael Weedon', 'Harry Wright', 'Gareth Hawkes']","['University of Exeter', 'University of Exeter', 'University of Exeter', 'University of Exeter']",4,4,1,False
"['Owner', 'Graduate Trainee', 'Mid-career Tenured Researcher']","['Pianhong Han', 'Esther Black']","['University of Kentucky', 'University of Kentucky']",2,2,1,False
"['Owner', 'Research Fellow', 'Research Fellow', 'Research Fellow', 'Graduate Trainee']","['Srishti Sinha', 'Samantha Huey', 'Sarada Ghosh', 'Naiwen Ji']","['Cornell University', 'Cornell University', 'Cornell University', 'Cornell University']",4,4,1,False
"['Owner', 'Owner', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator', 'Collaborator']","['Kaavya Ashok', 'Alisa Manning', 'Ravi Mandla', 'Raymond Kreienkamp', 'Lukasz Szczerbinski', 'Sara Cromer', 'Reagan Ballard', 'Laura Raffield', 'Miriam Udler', 'Micah Hysong', 'Josephine Li', 'Josep Mercader', 'Gareth Hawkes', 'Alicia Huerta', 'Aaron Deutsch', 'Alexandra Barry']","['Broad Institute', 'Mass General Brigham', 'Broad Institute', 'Broad Institute', 'Broad Institute', 'Mass General Brigham', 'University of North Carolina, Chapel Hill', 'University of North Carolina, Chapel Hill', 'Broad Institute', 'University of North Carolina, Chapel Hill', 'Mass General Brigham', 'Broad Institute', 'University of Exeter', 'Broad Institute', 'Mass General Brigham', 'Mass General Brigham']",16,16,4,True
"['Owner', 'Senior Researcher', 'Undergraduate Student']","['Andrew Magis', 'Lea Repovic']","['Institute for Systems Biology', 'Institute for Systems Biology']",2,2,1,False
['Owner'],['Scott Jones'],['Northwell Health'],1,1,1,False
"['Owner', 'Project Personnel', 'Early Career Tenure-track Researcher']","['Zhirui Deng', 'Theresa Koleck', 'Caitlin Dreisbach', 'Carol Li']","['University of Pittsburgh', 'University of Pittsburgh', 'University of Rochester', 'University of Rochester']",4,4,2,True
['Owner'],['Peixian Dong'],['University of Southern California'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Other']","['Daniel Flores', 'Andy Lee']","['University of California, Irvine', 'University of California, Irvine']",2,2,1,False
"['Owner', 'Graduate Trainee']",['Junjie Lu'],['Stanford University'],1,1,1,False
"['Owner', 'Early Career Tenure-track Researcher', 'Early Career Tenure-track Researcher', 'Mid-career Tenured Researcher', 'Mid-career Tenured Researcher', 'Early Career Tenure-track Researcher']","['Veronica Brady', 'Nyasha Chambwe', 'German Rosas-Acosta', 'Anjana Saxena', 'Anna Eiring']","['University of Texas Health Science Center, Houston', 'Feinstein Institute for Medical Research', 'University of Texas at El Paso', 'City University of New York (CUNY)', 'Texas Tech University Health Sciences Center at El Paso']",5,5,5,True
"['Owner', 'Research Fellow']",['Yangyang Deng'],['National Institutes of Health (NIH)'],1,1,1,False
"['Owner', 'Research Fellow']",['Mai Sedki'],['Stanford University'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Collaborator', 'Collaborator', 'Collaborator']","['Ahmed Khattab', 'Shang-Fu Chen', 'Aidan Cardall', 'Aidan Cardall', 'Justin Wang']","['Scripps Research', 'Scripps Research', 'Brigham Young University', 'Scripps Research', 'Scripps Research']",5,4,2,True
"['Owner', 'Collaborators', 'Collaborators', 'Collaborators', 'Collaborators', 'Collaborators', 'Collaborators']","['Tennille Leak-Johnson', 'Viviane Schuch', 'Muhammed Idris', 'Jade Avery', 'Hannah Luk', 'Deyana Lewis', 'Ariel Williams']","['Morehouse School of Medicine', 'Morehouse School of Medicine', 'Morehouse School of Medicine', 'Morehouse School of Medicine', 'University of Texas Medical Branch (UTMB) at Galveston', 'Morehouse School of Medicine', 'National Human Genome Research Institute (NIH - NHGRI)']",7,7,3,True
"['Owner', 'Collaborators']","['Chamika Hawkins-Taylor', 'Xiao Zhang', 'Hongyan Xu']","['Xavier University of Louisiana', 'Xavier University of Louisiana', 'Augusta University']",3,3,2,True
['Owner'],['Fan Li'],['University of Missouri'],1,1,1,False
"['Owner', 'Graduate Trainee']","['Tadesse Abegaz', 'Tadesse Abegaz']","['Florida A&M University', 'Florida A&M University']",2,1,1,False
"['Owner', 'Graduate Trainee', 'Collaborator']","['Jordan Keels', 'Theresa Koleck']","['Boston College', 'University of Pittsburgh']",2,2,2,True
"['Owner', 'Graduate Trainee']",['Megana Thamilselvan'],['University of Toronto'],1,1,1,False
"['Owner', 'Undergraduate Student', 'Undergraduate Student', 'Undergraduate Student']","['Jesus Leyva', 'Colin Hooppaw', 'Cayla Hollingsworth']","['Arizona State University', 'Arizona State University', 'Arizona State University']",3,3,1,False
"['Owner', 'Senior Researcher']",['Amelie Bonnefond'],['Inserm'],1,1,1,False
"['Owner', 'Graduate Trainee']",['Shivam Sharma'],['Georgia Institute of Technology'],1,1,1,False
"['Owner', 'Graduate Trainee', 'Graduate Trainee', 'Graduate Trainee', 'Graduate Trainee']","['YALIN LI', 'SREE SAI SREEVANI GONGALREDDY', 'niharika sarraf', 'Bhargava Cherukuri']","['George Mason University', 'George Mason University', 'George Mason University', 'George Mason University']",4,4,1,False
"['Owner', 'Undergraduate Student', 'Project Personnel', 'Undergraduate Student', 'Research Associate']","['Dafeng Hui', 'Takara Pierce', 'Stefanee Tillman', 'Sarena Noel', 'Javan Carter']","['Fisk University', 'Tennessee State University', 'All of Us Researcher Academy/RTI International', 'Tennessee State University', 'All of Us Researcher Academy/RTI International']",5,5,3,True
['Owner'],['Jessica Rast'],['Drexel University'],1,1,1,False
"['Owner', 'Collaborator']","['Tess Cherlin', 'Katie Cardone']","['University of Pennsylvania', 'University of Pennsylvania']",2,2,1,False
